               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12407,             0.21122,                   0,            0.019181,             0.05283,           0.0088537,           0.0016687,             0.12183,             0.12434,                   0,              0.0001,              0.0001,              0.0991
                   1,              0.1249,             0.23213,                   0,            0.015089,            0.098113,           0.0080823,           0.0016133,             0.12116,              0.1259,                   0,           0.0002973,           0.0002973,            0.097297
                   2,             0.12283,             0.21849,                   0,             0.01796,             0.10943,            0.009174,           0.0015119,             0.12006,             0.12849,                   0,            0.000491,            0.000491,            0.095491
                   3,             0.12138,             0.22936,                   0,            0.017802,             0.10943,           0.0091483,           0.0017523,             0.11868,             0.13146,                   0,           0.0006811,           0.0006811,            0.093681
                   4,             0.12019,             0.23851,                   0,            0.020466,            0.090566,            0.010147,           0.0019753,             0.11692,             0.13526,                   0,           0.0008676,           0.0008676,            0.091868
                   5,             0.11873,              0.2097,                   0,            0.024408,             0.11698,            0.012165,           0.0021519,             0.11506,             0.13917,                   0,           0.0010505,           0.0010505,            0.090051
                   6,             0.11922,             0.24739,                   0,            0.032144,            0.079245,               0.015,           0.0027381,             0.11313,             0.14336,                   0,           0.0012298,           0.0012298,             0.08823
                   7,             0.11595,             0.26269,                   0,            0.039731,              0.1434,            0.022588,           0.0039371,             0.11121,             0.14869,                   0,           0.0014055,           0.0014055,            0.086406
                   8,             0.11494,             0.27251,                   0,            0.061826,              0.1434,            0.031949,           0.0054715,             0.10937,             0.15615,                   0,           0.0015776,           0.0015776,            0.084578
                   9,             0.11578,             0.20174,                   0,             0.10016,              0.1283,            0.047596,           0.0087822,             0.10727,             0.16211,                   0,           0.0017461,           0.0017461,            0.082746
                  10,             0.11137,             0.21221,                   0,            0.088944,             0.36604,            0.066198,            0.012451,              0.1051,             0.16918,                   0,            0.001911,            0.001911,            0.080911
                  11,              0.1108,             0.24586,                   0,             0.12774,             0.27547,            0.089916,            0.018001,             0.10313,             0.18458,                   0,           0.0020723,           0.0020723,            0.079072
                  12,             0.10532,             0.23276,                   0,              0.1698,             0.20755,             0.10553,            0.024869,             0.10054,             0.19082,                   0,             0.00223,             0.00223,             0.07723
                  13,             0.10696,              0.2482,                   0,             0.18929,              0.2566,             0.15117,            0.035346,            0.097743,              0.1957,                   0,           0.0023841,           0.0023841,            0.075384
                  14,             0.10604,             0.23645,                   0,             0.19002,             0.33208,             0.17979,            0.044148,            0.094822,             0.19528,                   0,           0.0025346,           0.0025346,            0.073535
                  15,             0.10107,              0.2388,                   0,             0.32194,             0.21509,             0.19543,            0.051988,            0.093264,             0.20692,                   0,           0.0026815,           0.0026815,            0.071682
                  16,            0.098989,             0.23191,                   0,             0.25205,             0.32075,             0.20378,             0.05063,            0.090401,             0.20625,                   0,           0.0028248,           0.0028248,            0.069825
                  17,            0.098249,             0.26203,                   0,             0.33388,             0.27925,             0.20808,            0.049171,            0.087885,             0.22475,                   0,           0.0029645,           0.0029645,            0.067965
                  18,            0.094774,             0.23582,                   0,             0.29259,             0.40377,             0.24169,            0.049147,            0.085742,             0.20268,                   0,           0.0031006,           0.0031006,            0.066101
                  19,              0.0933,              0.2151,                   0,             0.23024,             0.39245,             0.17436,            0.040109,            0.085749,             0.20921,                   0,           0.0032331,           0.0032331,            0.064233
                  20,            0.091189,             0.24962,                   0,              0.2845,             0.35094,             0.19404,            0.050633,            0.083013,             0.21985,                   0,            0.003362,            0.003362,            0.062362
                  21,            0.089679,             0.22892,                   0,             0.25219,             0.47925,             0.24546,            0.061088,            0.078791,             0.19901,                   0,           0.0034873,           0.0034873,            0.060487
                  22,            0.087045,             0.23604,                   0,             0.24553,             0.47925,             0.20468,            0.047556,            0.085502,             0.19387,                   0,            0.003609,            0.003609,            0.058609
                  23,             0.08706,             0.23713,                   0,             0.23127,             0.47547,             0.21539,            0.048172,            0.078391,             0.20901,                   0,           0.0037271,           0.0037271,            0.056727
                  24,            0.084503,             0.20854,                   0,             0.32082,              0.5508,             0.29059,            0.067722,             0.07595,             0.19464,                   0,           0.0038416,           0.0038416,            0.054842
                  25,             0.08084,              0.2263,                   0,             0.12527,             0.35849,             0.11552,            0.027848,            0.092259,             0.26349,                   0,           0.0039525,           0.0039525,            0.052953
                  26,            0.090109,             0.26486,                   0,             0.32799,              0.4717,              0.2942,            0.070661,            0.079126,             0.20779,                   0,           0.0040598,           0.0040598,             0.05106
                  27,            0.087943,              0.2367,                   0,            0.087083,             0.28679,            0.065105,            0.014513,            0.090546,             0.19494,                   0,           0.0041635,           0.0041635,            0.049163
                  28,            0.088974,              0.2476,                   0,             0.27615,             0.51698,              0.2542,            0.053056,            0.079594,             0.18174,                   0,           0.0042636,           0.0042636,            0.047264
                  29,            0.093667,             0.24119,                   0,             0.23185,             0.47547,             0.20507,            0.052982,            0.082265,             0.17163,                   0,           0.0043601,           0.0043601,             0.04536
                  30,            0.089353,             0.27059,                   0,             0.29478,             0.61831,             0.27908,            0.077201,            0.075538,             0.16165,                   0,            0.004453,            0.004453,            0.043453
                  31,            0.085876,             0.26444,                   0,             0.32997,             0.43019,             0.25558,            0.073923,            0.083134,             0.20395,                   0,           0.0045423,           0.0045423,            0.041542
                  32,            0.087548,             0.24477,                   0,             0.29775,             0.46792,             0.22944,            0.054751,            0.079643,             0.15881,                   0,            0.004628,            0.004628,            0.039628
                  33,            0.089481,             0.25797,                   0,             0.29426,             0.41132,              0.2083,            0.056216,            0.075949,             0.18405,                   0,           0.0047101,           0.0047101,             0.03771
                  34,            0.078371,             0.24722,                   0,             0.31232,             0.40962,             0.28241,            0.057272,            0.078229,             0.18511,                   0,           0.0047886,           0.0047886,            0.035789
                  35,            0.089533,             0.27277,                   0,             0.34971,             0.54717,             0.33496,            0.080071,            0.070099,             0.15909,                   0,           0.0048635,           0.0048635,            0.033863
                  36,             0.07861,             0.27281,                   0,              0.2371,             0.63019,              0.3188,            0.072577,            0.075721,             0.20929,                   0,           0.0049348,           0.0049348,            0.031935
                  37,             0.07939,             0.24119,                   0,             0.33071,             0.47925,             0.33536,            0.093868,            0.072564,             0.18247,                   0,           0.0050025,           0.0050025,            0.030003
                  38,            0.080948,             0.29052,                   0,             0.38209,             0.61132,             0.34831,            0.083831,            0.073485,             0.17319,                   0,           0.0050666,           0.0050666,            0.028067
                  39,             0.07706,             0.26978,                   0,             0.34757,             0.43019,             0.28524,            0.069303,            0.078212,             0.26733,                   0,           0.0051271,           0.0051271,            0.026127
                  40,             0.08361,             0.27034,                   0,             0.17526,             0.70943,              0.1682,            0.040873,            0.078547,             0.17865,                   0,            0.005184,            0.005184,            0.024184
                  41,            0.082233,             0.31073,                   0,             0.30622,             0.50189,             0.28761,            0.059707,             0.07275,              0.1752,                   0,           0.0052373,           0.0052373,            0.022237
                  42,            0.079546,             0.30372,                   0,             0.30423,             0.43725,             0.29536,            0.085017,            0.076274,              0.2109,                   0,            0.005287,            0.005287,            0.020287
                  43,            0.083198,             0.27123,                   0,             0.25457,             0.33962,             0.21174,            0.049272,            0.072151,             0.22981,                   0,           0.0053331,           0.0053331,            0.018333
                  44,             0.07982,             0.22997,                   0,              0.4083,             0.55094,             0.40564,             0.11853,            0.067933,             0.26623,                   0,           0.0053756,           0.0053756,            0.016376
                  45,            0.073099,             0.24929,                   0,             0.42735,             0.55849,             0.45102,             0.13417,            0.069654,             0.21436,                   0,           0.0054145,           0.0054145,            0.014414
                  46,             0.07108,             0.25039,                   0,             0.28486,             0.56604,             0.29447,            0.075315,            0.072764,             0.28385,                   0,           0.0054498,           0.0054498,             0.01245
                  47,            0.082571,             0.28228,                   0,             0.37338,             0.59623,             0.39732,             0.11795,            0.065715,              0.2219,                   0,           0.0054815,           0.0054815,            0.010482
                  48,            0.071599,             0.23433,                   0,             0.36258,             0.49811,             0.29886,            0.079409,            0.072392,             0.18597,                   0,           0.0055096,           0.0055096,           0.0085096
                  49,            0.076731,              0.2277,                   0,             0.50039,             0.49434,             0.45899,             0.16286,            0.064614,              0.1706,                   0,           0.0055341,           0.0055341,           0.0065341
                  50,            0.074698,             0.29176,                   0,             0.31526,             0.59593,             0.35594,             0.11018,            0.069341,             0.22278,                   0,              0.0055,              0.0055,              0.0055
                  51,            0.069803,             0.26058,                   0,             0.48737,             0.59555,             0.48645,             0.13407,            0.071368,             0.24014,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.073164,             0.23739,                   0,             0.53728,              0.5434,             0.45625,             0.12561,            0.066886,             0.19222,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.068897,             0.23648,                   0,             0.63468,             0.60755,             0.55259,             0.19395,             0.06399,             0.19525,                   0,             0.00532,             0.00532,             0.00532
                  54,            0.067908,             0.23079,                   0,             0.65587,             0.64151,             0.58574,             0.20862,            0.060515,             0.19474,                   0,             0.00523,             0.00523,             0.00523
                  55,             0.06435,             0.24347,                   0,             0.68256,             0.53208,             0.54999,             0.20136,            0.067371,             0.21511,                   0,             0.00514,             0.00514,             0.00514
                  56,            0.067372,             0.28001,                   0,             0.46731,             0.66038,             0.46523,             0.15976,            0.057359,              0.2267,                   0,             0.00505,             0.00505,             0.00505
                  57,            0.066224,             0.25663,                   0,             0.55996,             0.60377,             0.54087,             0.19448,            0.061706,             0.19556,                   0,             0.00496,             0.00496,             0.00496
                  58,            0.061739,             0.23457,                   0,             0.64289,             0.61132,             0.57358,             0.20748,            0.056545,             0.19085,                   0,             0.00487,             0.00487,             0.00487
                  59,            0.068131,             0.22049,                   0,             0.61368,             0.58747,              0.5717,             0.24205,            0.057214,             0.17179,                   0,             0.00478,             0.00478,             0.00478
                  60,            0.063492,              0.2172,                   0,             0.68715,             0.60377,             0.63914,               0.224,            0.054586,             0.17782,                   0,             0.00469,             0.00469,             0.00469
                  61,            0.062989,             0.22984,                   0,             0.69691,             0.52061,             0.59191,             0.23577,            0.059034,             0.19718,                   0,              0.0046,              0.0046,              0.0046
                  62,            0.066662,             0.26741,                   0,             0.64679,             0.50445,             0.55942,             0.22412,            0.053799,             0.22687,                   0,             0.00451,             0.00451,             0.00451
                  63,            0.063424,             0.22606,                   0,             0.53092,              0.6717,             0.54814,             0.21519,            0.056631,             0.17773,                   0,             0.00442,             0.00442,             0.00442
                  64,            0.059111,             0.24129,                   0,             0.64554,             0.66663,             0.58889,             0.24534,            0.051748,             0.18246,                   0,             0.00433,             0.00433,             0.00433
                  65,            0.059208,             0.21359,                   0,             0.76211,             0.55094,             0.63143,             0.22677,            0.055221,             0.17956,                   0,             0.00424,             0.00424,             0.00424
                  66,            0.062793,             0.23354,                   0,             0.65439,             0.62264,             0.60895,             0.23377,            0.053097,             0.17299,                   0,             0.00415,             0.00415,             0.00415
                  67,            0.066011,             0.22617,                   0,             0.65751,             0.59245,             0.62422,             0.27837,            0.053062,             0.17478,                   0,             0.00406,             0.00406,             0.00406
                  68,            0.060464,             0.22914,                   0,             0.66422,             0.69434,             0.63924,              0.2646,            0.049164,             0.17002,                   0,             0.00397,             0.00397,             0.00397
                  69,            0.058394,             0.23415,                   0,             0.66258,             0.53962,             0.58562,              0.2514,            0.055793,             0.19953,                   0,             0.00388,             0.00388,             0.00388
                  70,            0.058987,             0.25382,                   0,             0.57753,             0.68302,             0.58869,             0.23878,            0.048741,             0.18907,                   0,             0.00379,             0.00379,             0.00379
                  71,            0.055862,             0.23226,                   0,             0.56926,             0.60344,             0.59177,             0.24384,            0.056806,             0.20121,                   0,              0.0037,              0.0037,              0.0037
                  72,            0.057203,             0.25646,                   0,             0.56988,             0.72996,             0.60145,             0.27932,            0.047096,              0.1834,                   0,             0.00361,             0.00361,             0.00361
                  73,            0.057221,             0.24448,                   0,             0.49388,             0.64906,             0.57767,             0.25119,            0.055697,             0.20111,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.063366,             0.24795,                   0,             0.74111,             0.72376,             0.74714,              0.3691,            0.046897,             0.16414,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.057864,             0.22004,                   0,             0.69768,             0.67056,             0.71139,             0.33631,            0.047076,             0.15973,                   0,             0.00334,             0.00334,             0.00334
                  76,            0.055905,             0.20396,                   0,             0.66144,             0.80359,             0.72112,             0.39052,            0.043706,             0.14498,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.057207,             0.27351,                   0,             0.67842,             0.72075,             0.68727,              0.3552,             0.04719,             0.15635,                   0,             0.00316,             0.00316,             0.00316
                  78,            0.061995,             0.28911,                   0,             0.85265,             0.72062,             0.82674,             0.44186,            0.041815,             0.16547,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.057922,             0.24341,                   0,             0.67426,             0.77331,             0.74343,             0.39095,            0.046058,             0.15692,                   0,             0.00298,             0.00298,             0.00298
                  80,            0.054601,             0.21074,                   0,             0.83059,             0.77705,             0.83687,             0.42762,            0.043473,              0.1536,                   0,             0.00289,             0.00289,             0.00289
                  81,            0.056699,             0.19725,                   0,             0.79956,             0.73208,             0.78369,             0.45554,            0.042171,             0.14752,                   0,              0.0028,              0.0028,              0.0028
                  82,            0.052694,             0.24395,                   0,              0.8058,             0.70943,             0.77379,             0.44931,             0.04318,             0.15128,                   0,             0.00271,             0.00271,             0.00271
                  83,             0.05314,             0.23549,                   0,             0.88072,             0.72446,             0.82203,             0.48642,            0.041159,             0.15189,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.053752,             0.21714,                   0,             0.88839,             0.72453,             0.83111,             0.50666,            0.040179,             0.14663,                   0,             0.00253,             0.00253,             0.00253
                  85,            0.054884,             0.23734,                   0,             0.85818,             0.72453,              0.8139,             0.48912,            0.040869,             0.14766,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.055856,             0.21413,                   0,             0.84845,             0.76226,             0.83734,             0.46416,            0.041772,             0.14684,                   0,             0.00235,             0.00235,             0.00235
                  87,            0.058623,             0.23259,                   0,             0.84677,             0.77358,             0.83214,             0.51832,            0.039694,             0.14271,                   0,             0.00226,             0.00226,             0.00226
                  88,            0.054174,             0.23013,                   0,              0.8857,             0.76604,              0.8479,             0.52899,            0.038282,             0.14144,                   0,             0.00217,             0.00217,             0.00217
                  89,            0.051792,             0.21523,                   0,             0.87336,             0.75849,             0.83913,             0.52556,            0.039104,             0.14298,                   0,             0.00208,             0.00208,             0.00208
                  90,            0.058557,              0.2911,                   0,             0.91903,             0.72816,              0.8495,             0.52032,            0.038276,             0.14663,                   0,             0.00199,             0.00199,             0.00199
                  91,            0.056773,             0.23367,                   0,             0.84544,             0.78438,             0.84263,             0.52387,            0.038186,             0.14812,                   0,              0.0019,              0.0019,              0.0019
                  92,            0.053248,             0.23525,                   0,             0.84863,             0.78491,             0.84763,             0.53522,            0.037595,             0.14665,                   0,             0.00181,             0.00181,             0.00181
                  93,            0.049715,             0.22757,                   0,             0.87497,             0.75094,             0.83954,             0.52199,            0.039486,             0.14881,                   0,             0.00172,             0.00172,             0.00172
                  94,            0.052378,             0.20861,                   0,             0.89732,             0.75848,             0.84865,             0.53413,            0.037572,             0.14406,                   0,             0.00163,             0.00163,             0.00163
                  95,            0.052202,             0.23546,                   0,             0.89631,             0.75849,             0.84202,             0.52796,            0.037498,             0.14194,                   0,             0.00154,             0.00154,             0.00154
                  96,            0.054148,             0.22136,                   0,             0.84654,             0.79245,             0.84267,             0.53218,            0.037176,             0.13984,                   0,             0.00145,             0.00145,             0.00145
                  97,            0.054764,             0.19867,                   0,             0.83169,             0.80377,             0.84417,             0.53244,            0.037493,             0.13872,                   0,             0.00136,             0.00136,             0.00136
                  98,            0.048872,             0.21244,                   0,             0.87177,             0.77358,             0.84865,             0.53686,            0.036828,             0.13716,                   0,             0.00127,             0.00127,             0.00127
                  99,            0.050635,             0.21952,                   0,             0.84452,                 0.8,             0.84723,             0.54837,            0.036473,             0.13606,                   0,             0.00118,             0.00118,             0.00118
